Row Number,Number of Rooms,Size (m²),Floor,Price,District,Address,Date,Latitude,Longitude,Link
70,2.0,63.0,5,29 000 000 〒,Ж.Молдағалиев 6 к1,"Ж.Молдағалиев 6 к1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1001317800
71,2.0,76.8,3,33 000 000 〒,Есильский р-н," Ильяс омаров 3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/675909650
72,4.0,138.37,,от 83 022 000 〒,Сарайшык р-н," Шамши Калдаяков 16, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/760981876
73,5.0,176.38,,от 150 099 380 〒,Нура р-н," Е-899 3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/697969356
74,2.0,66.32,,от 68 176 960 〒,Есильский р-н," ул. Е-314, 12, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000512524
75,3.0,125.06,,от 131 563 120 〒,Есильский р-н," ул. Мангилик Ел, 57, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000673582
76,3.0,75.51,,от 51 648 840 〒,Есильский р-н," Турар Рыскулов 18, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/698214875
77,1.0,39.4,,от 23 450 880 〒,Нура р-н," Е-36 5, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/683963226
78,2.0,79.15,,от 50 656 000 〒,Есильский р-н," Турар Рыскулов 18, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/698214876
79,2.0,43.0,4,44 500 000 〒,Нура р-н," Туран 39, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006991252
80,1.0,46.5,2,31 000 000 〒,Есильский р-н," Мангилик Ел 51/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005237043
81,2.0,41.0,5,33 800 000 〒,Алматы р-н," Тауелсиздик 25/1 — ШАРЛЬ ДЕ ГОЛЬ ЦЕНТР ЕВРОДВУШКА, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007121900
82,3.0,90.8,7,39 000 000 〒,Есильский р-н," Е11 10, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/760204608
83,3.0,104.3,8,59 800 000 〒,Есильский р-н," Акмешит 7Б — Алматы, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005305249
84,3.0,64.0,8,35 000 000 〒,Сарыарка р-н," Косшыгулулы 8/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004127767
85,2.0,47.0,13,29 990 000 〒,Нура р-н," Е-429 14/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007142764
86,1.0,33.0,2,16 900 000 〒,Алматы р-н," Жумабаева 5/1 — Школа 22, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006313013
87,1.0,37.8,,от 10 773 000 〒,Сарыарка р-н," Н. Тлендиева — ул. Баршын, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/675971516
88,2.0,85.38,,от 87 941 400 〒,Есильский р-н," ул. Мангилик Ел, 57, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000673325
89,3.0,91.64,,от 57 183 360 〒,Есильский р-н," ул. Жошы хан, 10, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000510461
90,3.0,100.12,,от 78 794 440 〒,Нура р-н," Е-899 5/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/760697978
91,2.0,70.39,,от 48 498 710 〒,Есильский р-н," Хусейн бен Талал 37, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005837204
92,2.0,69.44,,от 46 802 560 〒,Нура р-н," Шафика Чокина 4, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1002708578
93,5.0,161.84,,от 133 679 840 〒,Есильский р-н," Турар Рыскулов 18, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/698214884
94,4.0,100.0,6,52 000 000 〒,Есильский р-н," Сыганак — Тд Тумар, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005838398
95,1.0,41.9,,от 22 500 300 〒,Есильский р-н," Аль-Фараби 46/21, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1002717236
96,2.0,69.82,,от 54 459 600 〒,Нура р-н," Е-899 3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/697969336
97,1.0,35.4,,от 10 089 000 〒,Сарыарка р-н," Н. Тлендиева 52, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/675971514
98,5.0,205.3,3,115 000 000 〒,Сарыарка р-н," АзербайжанМамбетов 16, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/696838397
99,3.0,87.6,12,55 500 000 〒,Алматы р-н," Калдаякова 23A — Нажимеденова уг.ул Нурмаганбетова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003940705
100,2.0,45.0,6,31 900 000 〒,Нура р-н," Култегин 4а ЕВРОДВУШКА, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007047274
101,3.0,72.8,9,38 800 000 〒,Нура р-н," Казыбек би — Толе би - Роза Багланова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1002553310
102,2.0,66.2,6,33 900 000 〒,Нура р-н," Жубан Молдагалиев 3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006803411
103,3.0,108.0,20,116 000 000 〒,Есильский р-н," Сығанақ 52/2 1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005538559
104,1.0,42.4,9,20 500 000 〒,Есильский р-н," Е-779 32/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006882506
105,4.0,214.5,,от 184 290 000 〒,Сарайшык р-н," Жумекен Нажимеденов 2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/681768679
106,2.0,67.61,6,45 000 000 〒,Сарайшык р-н," Шамши Калдаяков 14, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004586808
107,3.0,86.9,,от 36 498 000 〒,Алматы р-н," трасса Астана-Караганда 4/3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/683999313
108,1.0,40.69,,от 17 496 700 〒,Сарыарка р-н," Бердибек Сокпакбаев 6, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007148144
109,3.0,84.0,5,44 000 000 〒,Есильский р-н," Сарайшык 5е, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006218345
110,3.0,79.9,8,34 900 000 〒,Алматы р-н," Жургенова 28/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005965353
111,4.0,155.86,,от 133 260 300 〒,Есильский р-н," ​Аль-Фараби 3/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004370403
112,4.0,116.33,,от 63 865 170 〒,Нура р-н," Улы Дала 14, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004699125
113,2.0,63.71,,от 36 633 250 〒,Нура р-н," Улы Дала 14, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004698983
114,3.0,118.03,,от 88 286 440 〒,Есильский р-н," ​Аль-Фараби 3/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004370279
115,2.0,84.11,,от 85 371 650 〒,Есильский р-н," ул. Мангилик Ел, 57, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000673324
116,3.0,84.0,,от 39 566 016 〒,Нура р-н," Култегин 4, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1001372147
117,2.0,64.57,,от 60 179 240 〒,Нура р-н," Кайым Мухамедханов 6/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/697968791
118,1.0,52.2,,от 29 064 960 〒,Нура р-н," Молдагалиева, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/689252931
119,4.0,107.6,,от 51 648 000 〒,Нура р-н," Е-36 5, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/683963225
120,3.0,88.2,,от 37 926 000 〒,Сарыарка р-н," Кумисбекова 9А, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/679866428
121,3.0,60.0,7,56 000 000 〒,Нура р-н," Туран 55/5 — Туран, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006525954
122,3.0,60.0,4,43 900 000 〒,Нура р-н," Е-15 13, 13/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006583711
123,1.0,37.0,14,31 000 000 〒,Нура р-н," Туран 55/12 — Первая линия пр. Туран, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006088897
124,2.0,60.3,8,31 500 000 〒,р-н Байконур," Сембинова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006985275
125,3.0,91.0,8,65 900 000 〒,Е-15 13," за  Хан Шатыром 13 — Сыганак, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005800938
126,3.0,70.0,14,30 500 000 〒,Есильский р-н," Сарайшык 5/1 — Акмешит, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006746040
127,3.0,67.0,,50 000 000 〒,Есильский р-н," Бокейхана 25, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006956675
128,3.0,170.0,8,151 500 000 〒,Алматы р-н," Аскар Токпанов 20 — ул. Шарля де Голля, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003682865
129,2.0,43.0,4,44 500 000 〒,Нура р-н," Туран 39, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006632570
130,3.0,90.3,9,48 000 000 〒,Алматы р-н," Иманбаевой 2 — тархана, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003207689
131,2.0,83.2,7,33 000 000 〒,Нура р-н," Азильхан Нуршаихов 6, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007030636
132,2.0,74.9,,от 65 088 100 〒,Есильский р-н," ​Аль-Фараби 3/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004370011
133,4.0,127.3,,от 46 500 000 〒,Есильский р-н," ул. Е-321, 17/3,17/2, 17/1, 15/1, 15/2, 15/3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003590967
134,2.0,68.19,,от 44 323 500 〒,Сарайшык р-н," Шамши Калдаяков 16, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/699607420
135,4.0,103.5,,от 51 025 500 〒,Есильский р-н," Аль-Фараби 46/21, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1002717262
136,3.0,81.01,,от 24 303 000 〒,Сарайшык р-н," А102, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/679559057
